Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
BERRIEN,ED-Nashville ICP 1 - 0,449,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 89; Mike Collins: 202; John F. Coyne III: 4; Derek Dooley: 67; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 89; Mike Collins: 202; John F. Coyne III: 4; Derek Dooley: 67; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 30; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 11; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 30; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 11; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3",,,
BIBB,AV-Elaine Lucas ICP 2 - 0,1262,Round 1: 0.158507593111925697,,Yes,"Earl L. ""Buddy"" Carter: 32; Mike Collins: 43; John F. Coyne III: 4; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 32; Mike Collins: 43; John F. Coyne III: 4; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 652; Olu Brown: 9; Amanda Duffy: 12; Geoff Duncan: 58; Jason Esteves: 85; Derrick Jackson: 26; Michael ""Mike"" Thurmond: 279","Keisha Lance Bottoms: 652; Olu Brown: 9; Amanda Duffy: 12; Geoff Duncan: 58; Jason Esteves: 85; Derrick Jackson: 26; Michael ""Mike"" Thurmond: 279",,,
BIBB,AV-Theron Ussery ICP 1 - 0,1341,Round 1: 0.514225861404178336,,Yes,"Earl L. ""Buddy"" Carter: 141; Mike Collins: 303; John F. Coyne III: 6; Derek Dooley: 225; Jonathan ""Jon"" McColumn: 20","Earl L. ""Buddy"" Carter: 141; Mike Collins: 303; John F. Coyne III: 6; Derek Dooley: 225; Jonathan ""Jon"" McColumn: 20",,,"Keisha Lance Bottoms: 348; Olu Brown: 4; Amanda Duffy: 5; Geoff Duncan: 56; Jason Esteves: 112; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 75","Keisha Lance Bottoms: 348; Olu Brown: 4; Amanda Duffy: 5; Geoff Duncan: 56; Jason Esteves: 112; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 75",,,
BIBB,ED-Godfrey 3 ICP 2 - 0,136,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 93; Olu Brown: 1; Amanda Duffy: 4; Geoff Duncan: 3; Jason Esteves: 10; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 93; Olu Brown: 1; Amanda Duffy: 4; Geoff Duncan: 3; Jason Esteves: 10; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 14",,,
BIBB,ED-Rutland 2 ICP 1 - 0,414,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 69; Mike Collins: 113; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 14","Earl L. ""Buddy"" Carter: 69; Mike Collins: 113; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 14",,,"Keisha Lance Bottoms: 127; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 12; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 18","Keisha Lance Bottoms: 127; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 12; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 18",,,
BIBB,ED-Vineville 1 ICP 1 - 0,249,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 20; Mike Collins: 32; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 20; Mike Collins: 32; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 79; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 10; Jason Esteves: 32; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 23","Keisha Lance Bottoms: 79; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 10; Jason Esteves: 32; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 23",,,
BIBB,ICC-Absentee By Mail - 5,51,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 34; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 34; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 9",,,
BIBB,ICC-Absentee By Mail - 11,29,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 5; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 12; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 12; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
BLECKLEY,ED-1 ICP 1 - 0,654,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 121; Mike Collins: 256; John F. Coyne III: 3; Derek Dooley: 94; Jonathan ""Jon"" McColumn: 22","Earl L. ""Buddy"" Carter: 121; Mike Collins: 256; John F. Coyne III: 3; Derek Dooley: 94; Jonathan ""Jon"" McColumn: 22",,,"Keisha Lance Bottoms: 70; Olu Brown: 1; Amanda Duffy: 4; Geoff Duncan: 6; Jason Esteves: 8; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 12","Keisha Lance Bottoms: 70; Olu Brown: 1; Amanda Duffy: 4; Geoff Duncan: 6; Jason Esteves: 8; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 12",,,
BLECKLEY,ED-1 ICP 2 - 0,559,Round 1: 0.858693424065639161,,Yes,"Earl L. ""Buddy"" Carter: 105; Mike Collins: 219; John F. Coyne III: 4; Derek Dooley: 74; Jonathan ""Jon"" McColumn: 10","Earl L. ""Buddy"" Carter: 105; Mike Collins: 219; John F. Coyne III: 4; Derek Dooley: 74; Jonathan ""Jon"" McColumn: 10",,,"Keisha Lance Bottoms: 55; Olu Brown: 0; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 10; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 13","Keisha Lance Bottoms: 55; Olu Brown: 0; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 10; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 13",,,
BLECKLEY,ICC-Provisional - 1,1,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BRANTLEY,Absentee By Mail ICC - 1,25,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 4; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 15; Mike Collins: 4; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BRANTLEY,AV-Election Office ICP 1 - 0,1441,,Round 1: 0.608857842258832268,Yes,"Earl L. ""Buddy"" Carter: 753; Mike Collins: 379; John F. Coyne III: 6; Derek Dooley: 128; Jonathan ""Jon"" McColumn: 29","Earl L. ""Buddy"" Carter: 753; Mike Collins: 379; John F. Coyne III: 6; Derek Dooley: 128; Jonathan ""Jon"" McColumn: 29",,,"Keisha Lance Bottoms: 45; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 10; Jason Esteves: 10; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 20","Keisha Lance Bottoms: 45; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 10; Jason Esteves: 10; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 20",,,
BRANTLEY,ED-Waynesville ICP 1 - 0,698,Round 1: 0.356667973171252487,,Yes,"Earl L. ""Buddy"" Carter: 317; Mike Collins: 237; John F. Coyne III: 2; Derek Dooley: 43; Jonathan ""Jon"" McColumn: 18","Earl L. ""Buddy"" Carter: 317; Mike Collins: 237; John F. Coyne III: 2; Derek Dooley: 43; Jonathan ""Jon"" McColumn: 18",,,"Keisha Lance Bottoms: 32; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 32; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4",,,
BRANTLEY,Provisional ICC - 1,3,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BROOKS,Absentee by Mail,59,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 19; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 18","Keisha Lance Bottoms: 19; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 18",,,
BROOKS,Advance Voting,841,Round 1: 0.725812562699266593,,Yes,"Earl L. ""Buddy"" Carter: 86; Mike Collins: 262; John F. Coyne III: 1; Derek Dooley: 46; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 85; Mike Collins: 262; John F. Coyne III: 1; Derek Dooley: 46; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: +1",1,"Keisha Lance Bottoms: 265; Olu Brown: 8; Amanda Duffy: 10; Geoff Duncan: 8; Jason Esteves: 27; Derrick Jackson: 30; Michael ""Mike"" Thurmond: 61","Keisha Lance Bottoms: 265; Olu Brown: 8; Amanda Duffy: 10; Geoff Duncan: 8; Jason Esteves: 27; Derrick Jackson: 30; Michael ""Mike"" Thurmond: 61",,,
BROOKS,Election Day,1493,,Round 1: 0.076425985281686083,Yes,"Earl L. ""Buddy"" Carter: 186; Mike Collins: 605; John F. Coyne III: 7; Derek Dooley: 117; Jonathan ""Jon"" McColumn: 27","Earl L. ""Buddy"" Carter: 186; Mike Collins: 605; John F. Coyne III: 8; Derek Dooley: 117; Jonathan ""Jon"" McColumn: 28","John F. Coyne III: -1; Jonathan ""Jon"" McColumn: -1",1,"Keisha Lance Bottoms: 283; Olu Brown: 13; Amanda Duffy: 22; Geoff Duncan: 24; Jason Esteves: 42; Derrick Jackson: 38; Michael ""Mike"" Thurmond: 55","Keisha Lance Bottoms: 283; Olu Brown: 14; Amanda Duffy: 22; Geoff Duncan: 24; Jason Esteves: 42; Derrick Jackson: 38; Michael ""Mike"" Thurmond: 55",Olu Brown: -1,1,
BROOKS,Provisional,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",Mike Collins: -2,2,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BRYAN,ED-Harn Community Center ICP 1 - 0,336,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 147; Mike Collins: 50; John F. Coyne III: 2; Derek Dooley: 21; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 147; Mike Collins: 50; John F. Coyne III: 2; Derek Dooley: 21; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 68; Olu Brown: 2; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 9; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 68; Olu Brown: 2; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 9; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 8",,,
BRYAN,ED-Timber Trail ICP 1 - 0,340,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 92; Mike Collins: 36; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 92; Mike Collins: 36; John F. Coyne III: 2; Derek Dooley: 28; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 86; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 7; Jason Esteves: 33; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 86; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 7; Jason Esteves: 33; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 6",,,
BRYAN,ICC-Absentee by Mail - 4,19,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BULLOCH,AV-Elections Office ICP 1 - 0,4342,Round 1: 0.215158678502845793,Round 1: 0.215158678502845793,Yes,"Earl L. ""Buddy"" Carter: 1234; Mike Collins: 786; John F. Coyne III: 22; Derek Dooley: 368; Jonathan ""Jon"" McColumn: 61","Earl L. ""Buddy"" Carter: 1234; Mike Collins: 786; John F. Coyne III: 22; Derek Dooley: 368; Jonathan ""Jon"" McColumn: 61",,,"Keisha Lance Bottoms: 1021; Olu Brown: 28; Amanda Duffy: 45; Geoff Duncan: 171; Jason Esteves: 237; Derrick Jackson: 70; Michael ""Mike"" Thurmond: 140","Keisha Lance Bottoms: 1021; Olu Brown: 28; Amanda Duffy: 45; Geoff Duncan: 171; Jason Esteves: 237; Derrick Jackson: 70; Michael ""Mike"" Thurmond: 140",,,
BULLOCH,ED-Blitch ICP 1 - 0,479,Round 1: 0.213416911234996501,,Yes,"Earl L. ""Buddy"" Carter: 160; Mike Collins: 120; John F. Coyne III: 7; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 15","Earl L. ""Buddy"" Carter: 160; Mike Collins: 120; John F. Coyne III: 7; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 15",,,"Keisha Lance Bottoms: 54; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 10; Jason Esteves: 16; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 54; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 10; Jason Esteves: 16; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
BULLOCH,ICC-Absentee by Mail - 7,50,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 7; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 3",,,
BULLOCH,ICC-Provisional - 2,12,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
BURKE,Advance Voting,1680,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 184; Mike Collins: 270; John F. Coyne III: 14; Derek Dooley: 182; Jonathan ""Jon"" McColumn: 21","Earl L. ""Buddy"" Carter: 184; Mike Collins: 270; John F. Coyne III: 14; Derek Dooley: 182; Jonathan ""Jon"" McColumn: 21",,,"Keisha Lance Bottoms: 555; Olu Brown: 7; Amanda Duffy: 26; Geoff Duncan: 26; Jason Esteves: 37; Derrick Jackson: 87; Michael ""Mike"" Thurmond: 192","Keisha Lance Bottoms: 555; Olu Brown: 7; Amanda Duffy: 26; Geoff Duncan: 26; Jason Esteves: 37; Derrick Jackson: 87; Michael ""Mike"" Thurmond: 192",,,
BURKE,Election Day,2623,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 378; Mike Collins: 440; John F. Coyne III: 12; Derek Dooley: 312; Jonathan ""Jon"" McColumn: 40","Earl L. ""Buddy"" Carter: 378; Mike Collins: 440; John F. Coyne III: 12; Derek Dooley: 312; Jonathan ""Jon"" McColumn: 40",,,"Keisha Lance Bottoms: 768; Olu Brown: 22; Amanda Duffy: 41; Geoff Duncan: 45; Jason Esteves: 66; Derrick Jackson: 95; Michael ""Mike"" Thurmond: 243","Keisha Lance Bottoms: 768; Olu Brown: 22; Amanda Duffy: 41; Geoff Duncan: 45; Jason Esteves: 66; Derrick Jackson: 95; Michael ""Mike"" Thurmond: 243",,,
BURKE,Provisional,2,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BUTTS,AV-Elections Office ICP 1 - 0,1911,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 153; Mike Collins: 1090; John F. Coyne III: 4; Derek Dooley: 161; Jonathan ""Jon"" McColumn: 16","Earl L. ""Buddy"" Carter: 153; Mike Collins: 1090; John F. Coyne III: 4; Derek Dooley: 161; Jonathan ""Jon"" McColumn: 16",,,"Keisha Lance Bottoms: 279; Olu Brown: 1; Amanda Duffy: 11; Geoff Duncan: 24; Jason Esteves: 24; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 101","Keisha Lance Bottoms: 279; Olu Brown: 1; Amanda Duffy: 11; Geoff Duncan: 24; Jason Esteves: 24; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 101",,,
BUTTS,ICC-Absentee by Mail - 3,5,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BUTTS,ICC-Advance In Person - 4,100,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 58; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 7; Mike Collins: 58; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 20; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 20; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5",,,
BUTTS,ICC-Advance In Person - 16,100,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 9; Mike Collins: 60; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 9; Mike Collins: 60; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 7","Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 7",,,
BUTTS,ICC-Provisional - 1,1,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
CALHOUN,Absentee by Mail,56,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 28; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 28; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 8",,,"Combines Absentee By Mail ICC - 1, Absentee By Mail ICC - 2"
CALHOUN,ED-Morgan ICP 1 - 0,84,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 12; Mike Collins: 24; John F. Coyne III: 0; Derek Dooley: 15; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 12; Mike Collins: 24; John F. Coyne III: 0; Derek Dooley: 15; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 13; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 3; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 13; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 3; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 2",,,
